Timestamp,Arbitration_ID,DLC,Data,Class
1597707827.052591,260,8,06 25 05 30 FF CF 71 55,Normal
1597707827.05398,329,8,4A C5 7E 8C 31 2D 01 10,Normal
1597707827.05467,38D,8,00 00 49 00 90 7F FE 01,Normal
1597707827.054904,420,8,50 1E 00 C8 FC 4F 6A 00,Normal
1597707827.05514,421,8,FE 07 00 FF E3 7F 00 52,Normal
1597707827.055378,153,8,20 80 10 FF 00 FF A0 4E,Normal
1597707827.055615,220,8,12 24 7C 00 00 6D 10 F6,Normal
1597707827.055853,340,8,00 00 00 24 36 01 25 30,Normal
1597707827.056095,389,8,00 00 00 20 00 00 C2 00,Normal
1597707827.056338,47F,8,00 EC FF FA 00 78 00 36,Normal
1597707827.0598,130,8,E4 80 AC 80 00 00 07 95,Normal
1597707827.060041,140,8,6C 80 00 6E 20 00 07 E8,Normal
1597707827.060268,251,8,59 04 DA 4F 00 45 B8 7F,Normal
1597707827.060471,2B0,6,67 00 00 07 CA 5B,Normal
1597707827.060639,164,4,00 08 1C FA,Normal
1597707827.060887,356,8,00 00 00 80 1F 00 00 00,Normal
1597707827.061103,366,7,26 82 10 25 21 0B 01,Normal
1597707827.061346,367,8,00 00 00 00 05 00 B4 12,Normal
1597707827.061587,368,8,00 0C 01 00 02 82 10 44,Normal
1597707827.061823,381,8,80 28 42 00 00 EE 12 05,Normal
1597707827.062052,387,8,F0 BD FA BD 00 71 0D 00,Normal
1597707827.062292,394,8,00 00 00 00 E5 03 19 98,Normal
1597707827.062472,453,5,00 88 90 00 6F,Normal
1597707827.062706,470,8,15 41 01 04 54 50 54 45,Normal
1597707827.062947,490,8,00 00 08 21 00 30 3C BD,Normal
1597707827.063179,495,8,00 00 61 0A 1D 02 87 6E,Normal
1597707827.063423,500,8,01 07 00 00 0C 00 0C 53,Normal
1597707827.063658,260,8,06 25 05 30 FF CF 71 64,Normal
1597707827.064274,391,8,00 00 00 00 00 00 03 24,Normal
1597707827.064502,329,8,4A C5 7E 8C 31 2E 01 10,Normal
1597707827.064664,4F1,4,40 1B 60 31,Normal
1597707827.065297,220,8,0F 04 80 00 00 6D 10 09,Normal
1597707827.065537,153,8,20 80 10 FF 00 FF B0 5E,Normal
1597707827.065775,340,8,00 00 00 24 46 01 6D 30,Normal
1597707827.066019,484,8,38 00 FC 3E 00 00 FC 3E,Normal
1597707827.069799,130,8,D4 80 84 80 00 00 08 4E,Normal
1597707827.07004,140,8,1C 80 00 6E 20 00 08 5B,Normal
1597707827.070268,251,8,55 04 DB 37 00 42 78 7F,Normal
1597707827.070438,164,4,00 08 1E C0,Normal
1597707827.07064,2B0,6,67 00 00 07 DB 8B,Normal
1597707827.070873,386,8,71 01 73 01 68 01 6E C1,Normal
1597707827.071285,356,8,00 00 00 80 18 00 00 00,Normal
1597707827.071498,366,7,26 86 10 25 21 0B 01,Normal
1597707827.071744,367,8,00 00 00 00 05 00 AE 12,Normal
1597707827.07198,368,8,00 0C 0A 00 02 82 10 44,Normal
1597707827.072224,479,8,4A 00 00 00 00 00 00 00,Normal
1597707827.072656,260,8,06 25 05 30 FF CF 6F 76,Normal
1597707827.074031,329,8,4A C5 7E 8C 31 2D 01 10,Normal
1597707827.074668,38D,8,00 00 49 00 98 7F FE 0D,Normal
1597707827.074901,420,8,60 1E 00 C8 FC 4F 6A 00,Normal
1597707827.075141,421,8,FE 07 00 FF E3 7F 00 43,Normal
1597707827.075381,153,8,20 80 10 FF 00 FF C0 6E,Normal
1597707827.075617,220,8,14 84 81 00 00 71 10 13,Normal
1597707827.07586,340,8,00 00 00 24 56 01 75 30,Normal
1597707827.076102,389,8,00 00 00 20 00 00 B3 00,Normal
1597707827.076346,47F,8,00 ED FF FA 00 78 00 70,Normal
1597707827.079812,130,8,C0 80 6C 80 00 00 09 89,Normal
1597707827.080047,140,8,A4 7F 00 6F 20 00 09 77,Normal
1597707827.080281,251,8,50 04 DC 8B 00 3E 48 7F,Normal
1597707827.080451,164,4,00 08 00 AB,Normal
1597707827.080655,2B0,6,67 00 00 07 AC 81,Normal
1597707827.080902,356,8,00 00 00 80 18 00 00 00,Normal
1597707827.081115,366,7,25 86 10 25 21 0B 01,Normal
1597707827.081358,367,8,00 00 00 00 05 00 B7 12,Normal
1597707827.0816,368,8,00 0C 10 00 02 86 10 44,Normal
1597707827.08184,381,8,80 F0 41 00 00 EF 0E 05,Normal
1597707827.082079,387,8,F3 C0 FD C0 00 7E 0E 00,Normal
1597707827.082317,394,8,00 20 00 00 EA 03 12 98,Normal
1597707827.08249,436,4,00 00 00 04,Normal
1597707827.082673,453,5,00 88 90 00 7F,Normal
1597707827.082912,470,8,15 01 04 04 50 50 54 49,Normal
1597707827.083156,541,8,03 04 41 80 C0 00 00 04,Normal
1597707827.08344,260,8,06 25 05 30 FF CF 6F 49,Normal
1597707827.084092,329,8,85 C5 7E 8C 31 2D 01 10,Normal
1597707827.084343,391,8,00 00 00 00 00 00 04 77,Normal
1597707827.084507,4F1,4,60 1B 60 41,Normal
1597707827.085299,220,8,0F 44 80 00 00 69 10 25,Normal
1597707827.085541,153,8,20 80 10 FF 00 FF D0 7E,Normal
1597707827.085777,340,8,00 00 00 24 66 01 5D 30,Normal
1597707827.08595,485,4,02 00 00 00,Normal
1597707827.086624,492,8,40 FE 0F 00 00 00 00 C4,Normal
1597707827.089815,130,8,D0 80 70 80 00 00 0A 3B,Normal
1597707827.090051,140,8,18 7F 00 6F 20 00 0A 9C,Normal
1597707827.090217,164,4,00 08 02 91,Normal
1597707827.090451,251,8,49 04 DD 03 00 39 18 7F,Normal
1597707827.090652,2B0,6,67 00 00 07 BD 51,Normal
1597707827.090882,386,8,6B 41 6F 01 69 41 6E 01,Normal
1597707827.091338,356,8,00 00 00 80 18 00 00 00,Normal
1597707827.091552,366,7,25 86 10 25 21 0B 01,Normal
1597707827.091798,367,8,00 00 00 00 05 00 BB 12,Normal
1597707827.092033,368,8,00 0C 13 00 02 86 10 44,Normal
1597707827.092281,4C9,8,00 00 00 00 00 00 00 00,Normal
1597707827.093176,48A,8,00 00 21 40 02 02 20 29,Normal
1597707827.094034,260,8,06 25 05 30 FF CF 6B 5C,Normal
1597707827.094494,58B,8,11 00 00 00 00 00 00 00,Normal
1597707827.094722,329,8,85 C5 7E 8C 31 2E 01 10,Normal
1597707827.09496,38D,8,00 00 49 00 A0 7F FE 29,Normal
1597707827.095194,420,8,70 1E 00 C8 FC 4F 6A 00,Normal
1597707827.095434,153,8,20 80 10 FF 00 FF E0 8E,Normal
1597707827.095672,220,8,0C 64 7E 00 00 5F 10 34,Normal
1597707827.095909,340,8,00 00 00 24 76 01 45 30,Normal
1597707827.096147,421,8,FE 07 00 FF E3 7F 00 34,Normal
1597707827.096394,389,8,00 00 00 20 00 00 A4 00,Normal
1597707827.096635,47F,8,00 EE FF FA 00 78 00 BA,Normal
1597707827.096881,48C,8,4C 20 02 00 00 00 00 00,Normal
1597707827.099826,130,8,B4 80 64 80 00 00 0B A5,Normal
1597707827.100064,140,8,80 7E 00 6E 20 00 0B 90,Normal
1597707827.100294,251,8,44 04 DE E5 00 35 08 7F,Normal
1597707827.100462,164,4,00 08 04 DF,Normal
1597707827.100662,2B0,6,67 00 00 07 8E 3C,Normal
1597707827.100909,356,8,00 00 00 80 18 00 00 00,Normal
1597707827.101121,366,7,25 8A 10 25 21 0B 01,Normal
1597707827.101361,367,8,00 00 00 00 05 00 B9 12,Normal
1597707827.101601,368,8,00 0C 14 00 02 86 10 44,Normal
1597707827.101841,381,8,80 A8 41 00 00 F0 57 05,Normal
1597707827.102074,387,8,F6 C3 01 C3 00 7D 00 00,Normal
1597707827.102312,394,8,00 40 00 00 E2 03 18 98,Normal
1597707827.102494,453,5,00 88 90 00 8F,Normal
1597707827.102731,470,8,15 41 05 04 54 50 54 8D,Normal
1597707827.102975,544,8,FF 77 FF FF 00 00 00 00,Normal
1597707827.103217,553,8,00 01 19 02 01 00 80 00,Normal
1597707827.103457,260,8,06 25 05 30 FF CF 6B 6B,Normal
1597707827.104306,391,8,00 00 00 00 00 00 05 6A,Normal
1597707827.104534,329,8,85 C5 7E 8C 31 2D 01 10,Normal
1597707827.104696,4F1,4,40 1B 60 51,Normal
1597707827.104936,50C,8,00 0E 00 07 06 10 00 A2,Normal
1597707827.105176,52A,8,0E 00 00 00 02 00 0E A6,Normal
1597707827.105416,153,8,20 80 10 FF 00 FF 00 AE,Normal
1597707827.105654,220,8,0C 24 7C 00 00 67 10 4A,Normal
1597707827.105893,340,8,00 00 00 24 86 01 CD 30,Normal
1597707827.106065,507,4,00 00 00 01,Normal
1597707827.106231,5B0,4,E3 14 00 00,Normal
1597707827.10648,5CD,8,00 00 00 00 00 00 00 00,Normal
1597707827.109835,130,8,B4 80 7C 80 00 00 0C 6F,Normal
1597707827.110076,140,8,58 7E 00 6E 20 00 0C D7,Normal
1597707827.110312,251,8,3F 04 DF 8A 00 31 C8 7E,Normal
1597707827.110478,164,4,00 08 06 E5,Normal
1597707827.11068,2B0,6,67 00 00 07 9F EC,Normal
1597707827.110915,386,8,6B 81 70 01 66 01 6D C1,Normal
1597707827.111155,490,8,00 00 08 21 00 40 3C 96,Normal
1597707827.111401,356,8,00 00 00 80 18 00 00 00,Normal
1597707827.111615,366,7,24 8A 10 25 21 0B 01,Normal
1597707827.111857,367,8,00 00 00 00 05 00 B1 12,Normal
1597707827.112094,368,8,00 0C 11 00 02 8A 10 44,Normal
1597707827.112342,44E,8,00 00 00 00 00 00 00 00,Normal
1597707827.112594,520,8,00 00 00 00 00 00 00 00,Normal
1597707827.112843,49F,8,7F FF 00 00 00 03 00 00,Normal
1597707827.113093,572,8,00 00 00 00 00 00 00 00,Normal
1597707827.113433,260,8,06 25 05 30 FF CF 6B 7A,Normal
1597707827.114134,329,8,85 C5 7E 8C 31 2E 01 10,Normal
1597707827.114673,38D,8,00 00 49 00 A8 7F FE 25,Normal
1597707827.114921,483,8,13 00 00 00 00 00 00 00,Normal
1597707827.115162,420,8,80 1E 00 C8 FC 4F 6A 00,Normal
1597707827.1154,153,8,20 80 10 FF 00 FF 10 BE,Normal
1597707827.115634,220,8,0B C4 79 00 00 59 10 58,Normal
1597707827.11587,340,8,00 00 00 24 96 01 D5 30,Normal
1597707827.116108,421,8,FE 07 00 FF E3 7F 00 25,Normal
1597707827.116354,47F,8,00 EF FF FA 00 78 00 FC,Normal
1597707827.116601,50A,8,0A 00 00 00 00 00 00 00,Normal
1597707827.116843,389,8,00 00 00 20 00 00 95 00,Normal
1597707827.119839,130,8,AC 80 70 80 00 00 0D DB,Normal
1597707827.120078,140,8,C8 7E 00 6F 20 00 0D 4F,Normal
1597707827.120244,164,4,00 08 08 43,Normal
1597707827.120484,251,8,3C 04 E0 2F 00 2F C8 7E,Normal
1597707827.120686,2B0,6,67 00 00 07 60 28,Normal
1597707827.120933,356,8,00 00 00 80 18 00 00 00,Normal
1597707827.121144,366,7,24 9E 10 25 21 0B 01,Normal
1597707827.121385,367,8,00 00 00 00 05 00 A1 12,Normal
1597707827.121625,368,8,00 0C 0D 00 02 8A 10 44,Normal
1597707827.121869,381,8,80 70 41 00 00 F1 F5 05,Normal
1597707827.1221,387,8,F9 C6 04 C6 00 8A 01 00,Normal
1597707827.12234,394,8,00 60 00 00 E2 03 16 98,Normal
1597707827.12252,453,5,00 88 90 00 9E,Normal
1597707827.122756,470,8,15 41 01 04 54 50 54 51,Normal
1597707827.123009,559,8,00 00 00 00 00 00 00 00,Normal
1597707827.124079,260,8,06 24 05 30 FF CF 69 40,Normal
1597707827.124323,391,8,00 00 00 00 00 00 06 4D,Normal
1597707827.124487,4F1,4,00 1B 60 61,Normal
1597707827.124715,329,8,85 C5 7E 8C 31 2E 01 10,Normal
1597707827.125277,220,8,0E 24 79 00 00 59 10 6D,Normal
1597707827.125518,153,8,20 80 10 FF 00 FF 20 CE,Normal
1597707827.125759,340,8,00 00 00 24 A6 01 FD 30,Normal
1597707827.129839,130,8,AC 80 34 80 00 00 0E D6,Normal
1597707827.130073,140,8,64 7F 00 6E 20 00 0E C6,Normal
1597707827.130239,164,4,00 08 0A 79,Normal
1597707827.130472,251,8,39 04 E1 17 00 2C 88 7E,Normal
1597707827.130674,2B0,6,67 00 00 07 71 F8,Normal
1597707827.130904,386,8,6C C1 71 01 68 41 6B C1,Normal
1597707827.13128,356,8,00 00 00 80 18 00 00 00,Normal
1597707827.131494,366,7,24 A6 10 24 21 0B 01,Normal
1597707827.131741,367,8,00 00 00 00 05 00 A7 12,Normal
1597707827.131977,368,8,00 0C 08 00 02 9E 10 44,Normal
1597707827.132149,436,4,00 00 00 04,Normal
1597707827.132396,410,8,60 12 40 00 01 00 00 00,Normal
1597707827.13263,260,8,06 24 05 30 FF CF 69 5F,Normal
1597707827.133992,329,8,85 C5 7E 8C 31 2D 01 10,Normal
1597707827.13468,38D,8,00 00 49 00 B0 7F FE 31,Normal
1597707827.134914,420,8,90 1E 00 C8 FC 4F 6A 00,Normal
1597707827.135152,421,8,FE 07 00 FF E3 7F 00 16,Normal
1597707827.135389,153,8,20 80 10 FF 00 FF 30 DE,Normal
1597707827.135623,220,8,0C E4 7A 00 00 55 10 76,Normal
1597707827.135861,340,8,00 00 00 24 B6 01 E5 30,Normal
1597707827.136105,389,8,00 00 00 20 00 00 86 00,Normal
1597707827.136347,47F,8,00 F0 FF FA 00 78 00 2D,Normal
1597707827.136596,484,8,3C 00 FC 3E 00 00 FC 3E,Normal
1597707827.136768,485,4,02 00 00 00,Normal
1597707827.13701,492,8,40 FE 0F 00 00 00 00 88,Normal
1597707827.139855,130,8,B4 80 18 80 00 00 0F A3,Normal
1597707827.140097,140,8,A8 7F 00 6F 20 00 0F 82,Normal
1597707827.140265,164,4,00 08 0C 37,Normal
1597707827.140497,251,8,35 04 E2 79 00 29 78 7E,Normal
1597707827.1407,2B0,6,67 00 00 07 42 95,Normal
1597707827.140945,356,8,00 00 00 80 18 00 00 00,Normal
1597707827.14116,366,7,24 A6 10 24 21 0B 01,Normal
1597707827.141402,367,8,00 00 00 00 05 00 B5 12,Normal
1597707827.141642,368,8,00 0C 03 00 02 A6 10 44,Normal
1597707827.14188,381,8,80 48 41 00 00 F2 17 05,Normal
1597707827.142113,387,8,FC C9 07 C9 00 97 02 00,Normal
1597707827.142353,394,8,00 80 00 00 E8 03 1E 98,Normal
1597707827.142601,412,8,80 00 00 0C 10 00 00 00,Normal
1597707827.142782,453,5,00 88 8F 00 B1,Normal
1597707827.143016,470,8,15 41 05 04 54 50 54 55,Normal
1597707827.143264,50E,8,00 00 00 20 0A 00 00 00,Normal
1597707827.143508,48A,8,00 00 41 40 02 02 20 77,Normal
1597707827.143742,260,8,06 24 04 30 FF CF 69 6F,Normal
1597707827.143985,563,8,C0 03 00 00 00 00 01 01,Normal
1597707827.144231,568,8,00 00 00 8C 80 00 00 00,Normal
1597707827.144476,391,8,00 00 00 00 00 00 07 50,Normal
