vehicle     min_compression_level     mean_compression_level     max_compression_level     low_one_byte_ratio     average_encoding_time(us)     average_decoding_time(us)     dictionary_size(byte)     
0           0                         46.97                      56                        6.9265                 2.18                          7.24                          376                       
1           0                         43.93                      56                        0.2114                 2.07                          6.52                          216                       
2           0                         47.0                       56                        0.0028                 2.28                          7.69                          360                       
3           0                         46.35                      56                        0.0819                 2.14                          7.18                          216                       
4           0                         46.49                      56                        0.0234                 2.42                          7.69                          360                       
5           0                         45.3                       56                        0.1008                 2.78                          7.98                          664                       
6           0                         44.93                      56                        0.605                  2.27                          6.98                          400                       
7           0                         39.96                      56                        12.1175                2.11                          6.14                          408                       
8           0                         42.16                      56                        6.0105                 2.25                          6.54                          496                       
9           0                         39.53                      56                        7.5431                 1.89                          5.22                          784                       
10          0                         42.64                      56                        0.3633                 1.89                          5.31                          432                       
