Vehicle     Methods     min     mean     max     Pcll     Enc(us)     Dec(us)     error(%)     Mem(KB)     
0           IVDCTBDR    29      48.11    56      0.0      19.77       23.56       0.0          165         
1           IVDCTBDR    12      40.27    56      0.0      20.93       24.6        0.0          102         
2           IVDCTBDR    25      52.14    56      0.0      19.76       22.86       0.0          259         
3           IVDCTBDR    10      41.3     56      0.0      20.49       24.31       0.0          179         
4           IVDCTBDR    0       40.89    56      0.0      20.63       24.5        0.0          271         
5           IVDCTBDR    5       43.39    56      0.0      20.19       23.83       0.0          191         
6           IVDCTBDR    14      42.27    56      0.0      19.94       25.06       0.0          106         
7           IVDCTBDR    0       37.54    56      0.0      21.55       24.82       0.0          265         
8           IVDCTBDR    0       42.83    56      0.0      20.53       24.23       0.0          251         
9           IVDCTBDR    0       41.2     56      0.0      20.03       23.39       0.0          217         
10          IVDCTBDR    4       29.02    56      0.0      21.84       25.22       0.0          87          
11          IVDCTBDR    0       42.87    56      0.0      20.11       23.85       0.0          85          
12          IVDCTBDR    12      42.84    56      0.0      20.38       24.09       0.0          240         
13          IVDCTBDR    0       48.62    56      0.02     19.17       22.79       0.0          224         
14          IVDCTBDR    22      52.62    56      0.0      18.51       22.43       0.0          166         
15          IVDCTBDR    0       37.08    56      4.18     21.27       24.53       0.0          383         
16          IVDCTBDR    6       36.79    56      0.0      20.98       24.37       0.0          182         
17          IVDCTBDR    0       36.25    56      0.0      20.96       24.25       0.0          211         
18          IVDCTBDR    0       42.46    56      0.0      21.26       24.88       0.0          350         
19          IVDCTBDR    0       39.94    56      0.0      21.61       25.23       0.0          191         
