Vehicle     Methods     min     mean     max     Pcll     Enc(us)     Dec(us)     error(%)     Mem(KB)     
1           TDBDR       0       39.78    56      0.0      13.38       12.56       0.0          86          
1           ITDBDR      0       39.89    56      0.0      13.28       16.37       0.0          54          
1           VDCTBDR     12      40.16    56      0.0      14.71       13.79       0.0          195         
1           IVDCTBDR    12      40.27    56      0.0      20.2        23.6        0.0          102         
2           TDBDR       0       51.88    56      0.06     12.58       11.76       0.0          147         
2           ITDBDR      0       51.83    56      0.06     12.29       15.04       0.0          137         
2           VDCTBDR     22      52.19    56      0.0      12.59       13.04       0.0          277         
2           IVDCTBDR    25      52.14    56      0.0      38.14       46.75       0.0          259         
3           TDBDR       0       40.13    56      0.0      30.55       30.01       0.0          143         
3           ITDBDR      0       40.29    56      0.0      33.97       41.15       0.0          96          
3           VDCTBDR     7       41.15    56      0.0      43.91       43.1        0.0          338         
3           IVDCTBDR    10      41.3     56      0.0      53.6        61.83       0.0          179         
