Vehicle     Methods     min     mean     max     Pcll     Enc(us)     Dec(us)     error(%)     Mem(KB)     
0           Baseline    0       47.0     56      0.0      4.66        17.59       0.0          28          
0           CASmap      0       46.0     61      1.94     130.41      127.98      0.0          28          
0           SFDC        0       52.78    64      1.81     32.62       83.52       0.0          39          
0           TBDR        20      44.54    56      0.0      38.95       32.86       0.0          104         
0           ITBDR       21      44.61    56      0.0      33.56       38.68       0.0          82          
0           TDBDR       0       47.7     56      0.0      39.14       37.0        0.0          95          
0           ITDBDR      0       47.54    56      0.0      40.13       46.08       0.0          86          
0           VDCTBDR     28      48.22    56      0.0      46.86       43.13       0.0          270         
0           IVDCTBDR    29      48.11    56      0.0      59.0        70.24       0.0          242         
1           Baseline    0       43.93    56      0.21     6.13        20.99       0.0          16          
1           CASmap      0       41.7     61      4.59     132.97      128.69      0.0          16          
1           SFDC        0       43.74    64      3.97     31.71       84.13       0.0          25          
1           TBDR        6       33.96    56      0.0      44.08       33.96       0.0          117         
1           ITBDR       6       34.42    56      0.0      34.44       37.68       0.0          51          
1           TDBDR       0       39.78    56      0.0      42.31       38.58       0.0          86          
1           ITDBDR      0       39.89    56      0.0      41.27       47.8        0.0          54          
1           VDCTBDR     12      40.16    56      0.0      50.34       44.97       0.0          238         
1           IVDCTBDR    12      40.27    56      0.0      61.72       71.58       0.0          145         
2           Baseline    0       45.3     56      0.1      6.22        20.4        0.0          49          
2           CASmap      0       43.09    61      0.83     130.69      128.52      0.0          49          
2           SFDC        0       59.64    64      0.05     31.94       83.82       0.0          69          
2           TBDR        20      50.88    56      0.0      35.9        31.68       0.0          137         
2           ITBDR       23      50.83    56      0.0      31.74       37.11       0.0          126         
2           TDBDR       0       51.88    56      0.06     37.31       35.56       0.0          147         
2           ITDBDR      0       51.83    56      0.06     38.87       44.53       0.0          137         
2           VDCTBDR     22      52.19    56      0.0      45.47       41.49       0.0          389         
2           IVDCTBDR    25      52.14    56      0.0      57.26       68.54       0.0          371         
3           Baseline    0       44.93    56      0.61     5.93        21.04       0.0          30          
3           CASmap      0       42.23    61      11.38    133.62      129.9       0.0          30          
3           SFDC        0       48.58    64      0.05     33.19       86.88       0.0          47          
3           TBDR        2       35.57    56      3.13     45.16       34.33       0.0          203         
3           ITBDR       6       36.46    56      0.0      34.15       37.75       0.0          89          
3           TDBDR       0       40.13    56      0.0      39.63       37.36       0.0          143         
3           ITDBDR      0       40.29    56      0.0      41.75       47.59       0.0          96          
3           VDCTBDR     7       41.15    56      0.0      49.79       45.15       0.0          419         
3           IVDCTBDR    10      41.3     56      0.0      61.03       71.17       0.0          261         
4           Baseline    0       38.28    56      8.61     7.01        20.58       0.0          50          
4           CASmap      0       33.56    61      19.5     140.32      135.34      0.0          50          
4           SFDC        0       46.18    64      9.54     31.47       82.07       0.0          71          
4           TBDR        0       36.49    56      11.82    46.08       34.55       0.0          270         
4           ITBDR       0       36.95    56      10.79    34.28       37.46       0.0          132         
4           TDBDR       0       39.63    56      0.42     43.01       38.34       0.0          218         
4           ITDBDR      0       40.19    56      0.0      41.42       47.84       0.0          145         
4           VDCTBDR     0       40.34    56      0.41     52.14       45.53       0.0          594         
4           IVDCTBDR    0       40.89    56      0.0      61.7        71.32       0.0          385         
5           Baseline    0       49.4     56      1.09     5.28        21.39       0.0          33          
5           CASmap      0       51.26    61      4.8      122.37      120.83      0.0          33          
5           SFDC        8       49.88    64      0.12     32.34       81.42       0.0          50          
5           TBDR        0       38.81    56      4.27     41.53       32.82       0.0          164         
5           ITBDR       2       38.79    56      3.56     33.27       37.89       0.0          94          
5           TDBDR       0       43.32    56      0.02     40.08       36.85       0.0          132         
5           ITDBDR      0       42.85    56      0.02     39.88       45.93       0.0          101         
5           VDCTBDR     3       43.85    56      0.0      47.49       44.1        0.0          375         
5           IVDCTBDR    5       43.39    56      0.0      59.3        70.01       0.0          277         
6           Baseline    0       42.94    56      0.27     6.14        21.07       0.0          18          
6           CASmap      0       39.81    61      6.12     137.14      129.43      0.0          18          
6           SFDC        0       45.42    64      1.05     31.86       84.34       0.0          27          
6           TBDR        11      36.56    56      0.0      43.34       33.73       0.0          111         
6           ITBDR       14      37.19    56      0.0      34.69       37.59       0.0          53          
6           TDBDR       0       41.43    56      0.02     41.89       37.67       0.0          84          
6           ITDBDR      0       41.65    56      0.02     41.42       48.49       0.0          57          
6           VDCTBDR     13      42.04    56      0.0      50.71       44.97       0.0          233         
6           IVDCTBDR    14      42.27    56      0.0      62.65       72.21       0.0          151         
7           Baseline    0       38.42    56      4.84     6.91        20.79       0.0          49          
7           CASmap      0       38.13    61      8.97     139.65      135.28      0.0          49          
7           SFDC        6       44.32    64      1.0      32.57       86.36       0.0          64          
7           TBDR        0       31.17    56      7.57     46.73       35.2        0.0          240         
7           ITBDR       0       31.6     56      3.78     35.67       38.39       0.0          133         
7           TDBDR       0       37.2     56      0.0      43.63       39.38       0.0          202         
7           ITDBDR      0       37.28    56      0.0      42.6        48.63       0.0          137         
7           VDCTBDR     0       37.49    56      0.0      53.5        46.3        0.0          543         
7           IVDCTBDR    0       37.54    56      0.0      63.52       72.93       0.0          374         
8           Baseline    0       40.71    56      5.44     6.65        20.83       0.0          46          
8           CASmap      0       36.91    61      13.93    136.88      132.42      0.0          46          
8           SFDC        0       49.38    64      8.66     31.05       80.99       0.0          65          
8           TBDR        0       39.19    56      10.32    44.21       34.13       0.0          227         
8           ITBDR       0       39.75    56      10.32    33.62       37.63       0.0          122         
8           TDBDR       0       41.18    56      0.0      41.69       37.72       0.0          192         
8           ITDBDR      0       41.76    56      0.0      41.27       47.54       0.0          134         
8           VDCTBDR     0       42.26    56      0.0      50.9        44.99       0.0          519         
8           IVDCTBDR    0       42.83    56      0.0      60.5        70.81       0.0          358         
9           Baseline    0       49.96    56      0.91     5.22        21.01       0.0          39          
9           CASmap      0       52.73    61      1.15     120.66      121.66      0.0          39          
