Vehicle     Methods     min     mean     max     Pcll     Enc(us)     Dec(us)     error(%)     Mem(KB)     
0           Baseline    0       47.0     56      0.0      7.43        24.27       0.0          28          
0           CASmap      0       46.0     61      1.94     135.43      137.18      0.0          28          
0           SFDC        0       52.78    64      1.81     32.53       80.09       0.0          39          
0           TBDR        20      44.54    56      0.0      43.58       37.56       0.0          104         
0           ITBDR       21      44.61    56      0.0      37.06       42.81       0.0          82          
0           TDBDR       0       47.7     56      0.0      42.09       43.72       0.0          95          
0           ITDBDR      0       47.54    56      0.0      41.74       50.28       0.0          86          
0           VDCTBDR     28      48.22    56      0.0      43.53       44.26       0.0          193         
0           IVDCTBDR    29      48.11    56      0.0      63.43       72.77       0.0          165         
1           Baseline    0       43.93    56      0.21     7.94        24.44       0.0          16          
1           CASmap      0       41.7     61      4.59     137.4       139.04      0.0          16          
1           SFDC        0       43.74    64      3.97     32.03       81.37       0.0          25          
1           TBDR        6       33.96    56      0.0      48.94       39.01       0.0          117         
1           ITBDR       6       34.42    56      0.0      37.25       41.24       0.0          51          
1           TDBDR       0       39.78    56      0.0      45.01       44.9        0.0          86          
1           ITDBDR      0       39.89    56      0.0      42.4        50.92       0.0          54          
1           VDCTBDR     12      40.16    56      0.0      47.64       46.29       0.0          195         
1           IVDCTBDR    12      40.27    56      0.0      65.12       73.33       0.0          102         
2           Baseline    0       45.3     56      0.1      7.68        24.29       0.0          49          
2           CASmap      0       43.09    61      0.83     136.43      138.2       0.0          49          
2           SFDC        0       59.64    64      0.05     32.73       80.79       0.0          69          
2           TBDR        20      50.88    56      0.0      40.67       36.54       0.0          137         
2           ITBDR       23      50.83    56      0.0      35.86       42.21       0.0          126         
2           TDBDR       0       51.88    56      0.06     40.86       42.22       0.0          147         
2           ITDBDR      0       51.83    56      0.06     40.77       49.28       0.0          137         
2           VDCTBDR     22      52.19    56      0.0      41.71       42.53       0.0          277         
2           IVDCTBDR    25      52.14    56      0.0      61.84       71.4        0.0          259         
3           Baseline    0       44.93    56      0.61     7.83        24.03       0.0          30          
3           CASmap      0       42.23    61      11.38    137.85      139.5       0.0          30          
3           SFDC        0       48.58    64      0.05     33.27       82.7        0.0          47          
