vehicle     methods     min_compression     mean_compression     max_compression     low_one_byte_ratio     encoding_time(us)     decoding_time(us)     error_ratio(%)     memory(KB)     
0           TBDR-000    0                   18.87                32                  15.7728                41.68                 39.28                 0.0                284            
0           TBDR-001    8                   35.94                48                  0.0                    40.72                 38.56                 0.0                148            
0           TBDR-002    17                  45.02                56                  0.0                    36.16                 32.83                 0.0                104            
0           TBDR-003    12                  49.92                60                  0.0                    10.81                 7.84                  0.0                413            
1           TBDR-000    0                   12.07                32                  45.8969                27.7                  26.91                 0.0                163            
1           TBDR-001    0                   25.77                48                  19.246                 15.67                 14.62                 0.0                93             
1           TBDR-002    6                   34.62                56                  0.0011                 11.24                 9.09                  0.0                117            
1           TBDR-003    1                   40.79                60                  0.0128                 33.72                 7.23                  0.0                3354           
2           TBDR-000    0                   25.43                32                  1.3926                 23.64                 20.96                 0.0                460            
2           TBDR-001    12                  42.33                48                  0.0                    14.26                 13.68                 0.0                235            
2           TBDR-002    9                   51.0                 56                  0.0                    8.93                  8.09                  0.0                137            
2           TBDR-003    0                   55.5                 60                  0.0095                 8.33                  7.91                  0.0                157            
3           TBDR-000    0                   13.79                32                  42.4128                25.19                 23.84                 0.0                307            
3           TBDR-001    0                   27.47                48                  17.9215                15.45                 14.71                 0.0                170            
3           TBDR-002    2                   35.96                56                  2.6954                 11.87                 9.9                   0.0                203            
3           TBDR-003    0                   41.52                60                  0.1642                 45.23                 8.26                  0.0                4245           
4           TBDR-000    0                   14.09                32                  38.5093                25.58                 24.24                 0.0                469            
4           TBDR-001    0                   28.6                 48                  14.3886                15.47                 14.61                 0.0                255            
4           TBDR-002    0                   36.63                56                  11.8184                13.32                 10.91                 0.0                270            
4           TBDR-003    0                   41.68                60                  10.6673                194.84                11.15                 0.0                11232          
5           TBDR-000    0                   16.14                32                  39.7171                28.27                 27.34                 0.0                330            
5           TBDR-001    0                   30.98                48                  8.5134                 17.4                  17.07                 0.0                176            
5           TBDR-002    0                   39.66                56                  3.7196                 12.36                 11.03                 0.0                164            
5           TBDR-003    0                   45.12                60                  0.9693                 18.29                 8.45                  0.0                1519           
6           TBDR-000    0                   14.01                32                  39.2789                28.66                 26.97                 0.0                173            
6           TBDR-001    0                   28.29                48                  16.4775                17.7                  16.89                 0.0                97             
6           TBDR-002    0                   37.23                56                  0.0014                 13.13                 10.37                 0.0                111            
6           TBDR-003    0                   42.45                60                  0.0766                 16.44                 6.41                  0.0                1452           
7           TBDR-000    0                   10.63                32                  48.5504                83.94                 79.51                 0.0                460            
7           TBDR-001    0                   22.58                48                  25.5103                56.89                 53.28                 0.0                252            
7           TBDR-002    0                   31.51                56                  7.5693                 40.97                 34.04                 0.0                240            
7           TBDR-003    0                   37.68                60                  2.3694                 218.87                22.93                 0.0                9487           
8           TBDR-000    0                   15.85                32                  35.4879                27.8                  26.28                 0.0                437            
8           TBDR-001    0                   30.82                48                  12.4576                17.88                 16.94                 0.0                235            
8           TBDR-002    0                   39.23                56                  10.3196                13.22                 11.1                  0.0                227            
8           TBDR-003    0                   43.99                60                  10.1379                239.7                 12.28                 0.0                11914          
9           TBDR-000    0                   16.96                32                  33.4781                28.07                 26.4                  0.0                376            
9           TBDR-001    0                   31.75                48                  14.1757                16.97                 16.26                 0.0                200            
9           TBDR-002    0                   41.52                56                  0.0003                 11.61                 10.44                 0.0                149            
9           TBDR-003    0                   47.19                60                  0.0008                 14.55                 7.87                  0.0                1075           
10          TBDR-000    0                   4.73                 32                  81.8329                30.44                 28.98                 0.0                140            
10          TBDR-001    0                   14.41                48                  53.6316                19.26                 18.36                 0.0                79             
10          TBDR-002    0                   25.87                56                  15.8706                13.88                 11.58                 0.0                92             
10          TBDR-003    0                   34.34                60                  0.1718                 44.74                 8.84                  0.0                2273           
11          TBDR-000    0                   13.88                32                  42.7844                28.1                  26.96                 0.0                145            
11          TBDR-001    0                   29.27                48                  7.6668                 16.91                 16.29                 0.0                78             
11          TBDR-002    0                   38.35                56                  0.0005                 12.07                 10.57                 0.0                82             
11          TBDR-003    0                   43.17                60                  0.0246                 38.37                 8.82                  0.0                2267           
