Vehicle     Methods     min     mean     max     Pcll     Enc(us)     Dec(us)     error(%)     Mem(KB)     
0           TBDR-000    0       18.39    32      18.82    111.25      100.5       0.0          284         
0           TBDR-001    17      35.45    48      0.0      65.36       59.73       0.0          148         
0           TBDR-002    20      44.54    56      0.0      43.66       38.99       0.0          104         
0           TBDR-003    12      49.51    60      0.0      39.11       28.43       0.0          413         
1           TBDR-000    0       11.63    32      46.61    117.31      106.95      0.0          163         
1           TBDR-001    0       25.06    48      20.49    69.22       63.48       0.0          93          
1           TBDR-002    6       33.96    56      0.0      48.8        40.7        0.0          117         
1           TBDR-003    1       40.37    60      0.01     294.59      35.32       0.0          3354        
2           TBDR-000    0       25.34    32      1.39     110.09      97.42       0.0          460         
2           TBDR-001    14      42.22    48      0.0      62.6        58.38       0.0          235         
2           TBDR-002    20      50.88    56      0.0      40.57       37.93       0.0          137         
2           TBDR-003    20      55.46    60      0.0      29.59       27.62       0.0          157         
3           TBDR-000    0       13.61    32      43.51    118.18      104.92      0.0          307         
3           TBDR-001    0       27.12    48      18.99    68.51       61.87       0.0          170         
3           TBDR-002    2       35.57    56      3.13     50.11       39.97       0.0          203         
3           TBDR-003    3       41.28    60      0.02     298.1       34.77       0.0          4245        
4           TBDR-000    0       14.02    32      39.06    119.02      105.91      0.0          469         
4           TBDR-001    0       28.47    48      14.9     68.01       62.53       0.0          255         
4           TBDR-002    0       36.49    56      11.82    50.31       40.5        0.0          270         
4           TBDR-003    0       41.57    60      10.47    1281.23     33.52       0.0          11232       
5           TBDR-000    0       15.48    32      41.27    115.91      103.71      0.0          330         
5           TBDR-001    0       30.25    48      11.38    66.9        61.39       0.0          176         
5           TBDR-002    0       38.81    56      4.27     45.76       39.25       0.0          164         
5           TBDR-003    0       44.68    60      0.46     98.62       30.36       0.0          1519        
6           TBDR-000    0       13.64    32      41.32    117.07      105.56      0.0          173         
6           TBDR-001    3       27.62    48      20.41    68.54       62.75       0.0          97          
6           TBDR-002    11      36.56    56      0.0      48.05       40.23       0.0          111         
6           TBDR-003    9       42.43    60      0.0      102.71      31.29       0.0          1452        
7           TBDR-000    0       10.47    32      49.76    120.03      107.7       0.0          460         
7           TBDR-001    0       22.32    48      26.04    69.88       62.54       0.0          252         
7           TBDR-002    0       31.17    56      7.57     50.56       40.78       0.0          240         
7           TBDR-003    0       37.28    60      3.79     694.37      37.96       0.0          9487        
8           TBDR-000    0       15.8     32      35.67    118.18      104.33      0.0          437         
8           TBDR-001    0       30.77    48      12.48    66.96       61.71       0.0          235         
8           TBDR-002    0       39.19    56      10.32    48.18       39.89       0.0          227         
8           TBDR-003    0       43.85    60      10.01    1379.36     33.45       0.0          11914       
9           TBDR-000    0       14.56    32      41.38    116.77      104.73      0.0          376         
9           TBDR-001    0       28.78    48      16.52    66.5        61.74       0.0          200         
