vehicle     methods     min_compression     mean_compression     max_compression     low_one_byte_ratio     encoding_time(us)     decoding_time(us)     error_ratio(%)     memory(KB)     
0           TBDR        17                  45.02                56                  0.0                    18.08                 16.32                 0.0                104            
0           ITBDR(6)    19                  45.2                 56                  0.0                    33.81                 38.15                 0.0                84             
1           TBDR        6                   34.62                56                  0.0                    41.45                 34.76                 0.0                117            
1           ITBDR(6)    8                   35.73                56                  0.0                    38.71                 42.4                  0.0                60             
2           TBDR        9                   51.0                 56                  0.0                    34.57                 32.12                 0.0                137            
2           ITBDR(6)    9                   51.04                56                  0.0                    33.6                  39.05                 0.0                128            
3           TBDR        2                   35.96                56                  2.7                    42.55                 34.41                 0.0                203            
3           ITBDR(6)    7                   37.3                 56                  0.0                    35.37                 38.8                  0.0                94             
4           TBDR        0                   36.63                56                  11.82                  43.33                 34.95                 0.0                270            
4           ITBDR(6)    2                   37.5                 56                  10.68                  31.16                 35.0                  0.0                140            
5           TBDR        0                   39.66                56                  3.72                   20.95                 18.07                 0.0                164            
5           ITBDR(6)    3                   40.26                56                  1.88                   11.79                 13.15                 0.0                101            
6           TBDR        0                   37.23                56                  0.0                    14.4                  11.95                 0.0                111            
6           ITBDR(6)    0                   38.17                56                  0.0                    11.92                 13.35                 0.0                59             
7           TBDR        0                   31.51                56                  7.57                   29.48                 24.66                 0.0                240            
7           ITBDR(6)    0                   32.53                56                  3.78                   12.35                 13.37                 0.0                143            
8           TBDR        0                   39.23                56                  10.32                  13.29                 11.24                 0.0                227            
8           ITBDR(6)    2                   40.08                56                  10.32                  11.07                 13.13                 0.0                130            
9           TBDR        0                   41.52                56                  0.0                    11.46                 10.53                 0.0                149            
9           ITBDR(6)    0                   41.8                 56                  0.0                    11.07                 11.97                 0.0                114            
10          TBDR        0                   25.87                56                  15.87                  13.44                 11.86                 0.0                92             
10          ITBDR(6)    0                   26.84                56                  10.52                  12.17                 12.84                 0.0                49             
11          TBDR        0                   38.35                56                  0.0                    12.22                 10.68                 0.0                82             
11          ITBDR(6)    0                   39.06                56                  0.0                    10.9                  12.08                 0.0                45             
12          TBDR        0                   37.33                56                  1.45                   13.49                 10.81                 0.0                193            
12          ITBDR(6)    4                   38.13                56                  0.01                   11.19                 13.14                 0.0                124            
13          TBDR        0                   51.26                56                  0.03                   9.14                  11.02                 0.0                111            
13          ITBDR(6)    0                   51.26                56                  0.03                   11.43                 11.15                 0.0                109            
14          TBDR        20                  49.33                56                  0.0                    11.0                  9.73                  0.0                102            
14          ITBDR(6)    20                  49.71                56                  0.0                    9.73                  12.16                 0.0                82             
15          TBDR        0                   33.17                56                  10.45                  13.51                 11.47                 0.0                334            
15          ITBDR(6)    0                   34.18                56                  7.92                   11.86                 13.07                 0.0                198            
16          TBDR        0                   30.21                56                  16.07                  14.65                 11.41                 0.0                185            
16          ITBDR(6)    5                   32.0                 56                  16.07                  11.06                 12.24                 0.0                92             
17          TBDR        0                   33.23                56                  8.89                   14.15                 11.46                 0.0                232            
17          ITBDR(6)    0                   34.67                56                  7.41                   11.6                  12.51                 0.0                109            
18          TBDR        0                   36.87                56                  8.18                   13.33                 10.95                 0.0                335            
18          ITBDR(6)    2                   37.75                56                  7.92                   11.46                 12.35                 0.0                181            
19          TBDR        4                   34.74                56                  0.0                    13.37                 11.85                 0.0                183            
19          ITBDR(6)    7                   35.82                56                  0.0                    11.78                 12.92                 0.0                101            
