vehicle     methods     min_compression     mean_compression     max_compression     low_one_byte_ratio     encoding_time(us)     decoding_time(us)     memory(byte)     
0           ITBDR       19                  45.2                 56                  0.0                    10.63                 11.93                 84403            
1           ITBDR       8                   35.73                56                  0.0001                 11.2                  12.15                 59603            
2           ITBDR       9                   51.04                56                  0.0                    10.18                 11.72                 128343           
3           ITBDR       7                   37.3                 56                  0.0002                 11.07                 12.13                 94127            
4           ITBDR       2                   37.5                 56                  10.6781                10.81                 11.86                 139975           
5           ITBDR       3                   40.26                56                  1.8762                 10.82                 12.07                 101183           
6           ITBDR       0                   38.17                56                  0.0014                 10.8                  12.15                 58743            
7           ITBDR       0                   32.53                56                  3.7847                 11.34                 12.23                 142975           
8           ITBDR       2                   40.08                56                  10.3195                10.78                 12.04                 129551           
9           ITBDR       0                   41.8                 56                  0.0003                 10.52                 11.59                 114119           
10          ITBDR       0                   26.84                56                  10.5193                11.2                  11.53                 49499            
11          ITBDR       0                   39.06                56                  0.0003                 10.51                 11.56                 45007            
12          ITBDR       4                   38.13                56                  0.005                  11.7                  12.19                 124395           
13          ITBDR       0                   51.26                56                  0.028                  10.96                 11.53                 109063           
14          ITBDR       20                  49.71                56                  0.0                    9.78                  11.4                  82043            
15          ITBDR       0                   34.18                56                  7.9228                 11.53                 12.65                 198311           
16          ITBDR       5                   32.0                 56                  16.065                 11.06                 11.84                 92159            
17          ITBDR       0                   34.67                56                  7.4104                 11.04                 12.22                 108871           
18          ITBDR       2                   37.75                56                  7.9162                 11.07                 12.15                 180711           
19          ITBDR       7                   35.82                56                  0.001                  11.16                 12.29                 100511           
