vehicle     methods     min_compression     mean_compression     max_compression     low_one_byte_ratio     encoding_time(us)     decoding_time(us)     error_ratio(%)     memory(KB)     
0           TBDR-000    17                  45.02                56                  0.0                    11.48                 10.82                 0.0                104            
0           TBDR-001    17                  44.92                56                  0.0                    11.59                 10.63                 0.0                104            
0           TBDR-002    20                  44.66                56                  0.0                    11.33                 10.47                 0.0                104            
0           TBDR-003    20                  44.62                56                  0.0                    11.47                 10.51                 0.0                104            
0           TBDR-004    20                  44.54                56                  0.0                    11.17                 10.36                 0.0                104            
0           TBDR-005    20                  44.49                56                  0.0                    11.4                  10.78                 0.0                104            
0           TBDR-006    20                  44.45                56                  0.0                    11.28                 10.7                  0.0                104            
0           TBDR-007    20                  44.27                56                  0.0                    11.32                 10.63                 0.0                104            
0           TBDR-008    21                  43.99                56                  0.0                    11.3                  10.74                 0.0                104            
0           TBDR-009    26                  43.86                56                  0.0                    11.39                 10.77                 0.0                104            
1           TBDR-000    6                   34.62                56                  0.0                    13.2                  10.93                 0.0                117            
1           TBDR-001    6                   34.43                56                  0.0                    12.97                 10.74                 0.0                117            
1           TBDR-002    6                   34.42                56                  0.0                    13.18                 10.97                 0.0                117            
1           TBDR-003    6                   34.35                56                  0.0                    13.01                 11.03                 0.0                117            
1           TBDR-004    6                   33.96                56                  0.0                    12.93                 11.13                 0.0                117            
1           TBDR-005    8                   33.72                56                  0.0                    13.03                 10.96                 0.0                117            
1           TBDR-006    8                   33.63                56                  0.0                    12.55                 10.93                 0.0                117            
1           TBDR-007    10                  33.59                56                  0.0                    12.68                 10.54                 0.0                117            
1           TBDR-008    11                  33.55                56                  0.0                    12.85                 10.74                 0.0                117            
1           TBDR-009    11                  33.5                 56                  0.0                    12.79                 10.62                 0.0                117            
2           TBDR-000    9                   51.0                 56                  0.0                    10.79                 10.35                 0.0                137            
2           TBDR-001    18                  50.98                56                  0.0                    10.77                 10.23                 0.0                137            
2           TBDR-002    20                  50.88                56                  0.0                    10.4                  10.56                 0.0                137            
2           TBDR-003    20                  50.88                56                  0.0                    10.53                 10.99                 0.0                137            
2           TBDR-004    20                  50.88                56                  0.0                    9.8                   9.59                  0.0                137            
2           TBDR-005    20                  50.88                56                  0.0                    10.96                 10.1                  0.0                137            
2           TBDR-006    20                  50.87                56                  0.0                    10.77                 10.25                 0.0                137            
2           TBDR-007    20                  50.87                56                  0.0                    10.06                 9.82                  0.0                137            
2           TBDR-008    20                  50.87                56                  0.0                    10.29                 10.25                 0.0                137            
2           TBDR-009    26                  50.85                56                  0.0                    10.82                 9.62                  0.0                137            
3           TBDR-000    2                   35.96                56                  2.7                    13.41                 11.05                 0.0                203            
3           TBDR-001    2                   35.63                56                  3.13                   13.18                 11.09                 0.0                203            
3           TBDR-002    2                   35.6                 56                  3.13                   13.17                 10.92                 0.0                203            
3           TBDR-003    2                   35.59                56                  3.13                   13.14                 10.93                 0.0                203            
3           TBDR-004    2                   35.57                56                  3.13                   12.9                  11.14                 0.0                203            
3           TBDR-005    2                   35.55                56                  3.13                   12.62                 11.19                 0.0                203            
3           TBDR-006    2                   35.46                56                  3.13                   12.91                 11.34                 0.0                203            
3           TBDR-007    2                   35.46                56                  3.13                   12.64                 10.63                 0.0                203            
3           TBDR-008    2                   35.41                56                  3.13                   12.77                 10.71                 0.0                203            
3           TBDR-009    6                   35.23                56                  3.13                   12.56                 10.91                 0.0                203            
4           TBDR-000    0                   36.63                56                  11.82                  13.42                 11.07                 0.0                270            
4           TBDR-001    0                   36.59                56                  11.82                  13.6                  11.16                 0.0                270            
4           TBDR-002    0                   36.55                56                  11.82                  13.46                 11.16                 0.0                270            
4           TBDR-003    0                   36.53                56                  11.82                  13.23                 11.05                 0.0                270            
4           TBDR-004    0                   36.49                56                  11.82                  13.48                 11.25                 0.0                270            
4           TBDR-005    0                   36.47                56                  11.82                  13.23                 10.94                 0.0                270            
4           TBDR-006    0                   36.47                56                  11.82                  13.49                 11.16                 0.0                270            
4           TBDR-007    0                   36.46                56                  11.82                  13.37                 11.07                 0.0                270            
4           TBDR-008    0                   36.45                56                  11.82                  13.16                 11.24                 0.0                270            
4           TBDR-009    0                   36.44                56                  11.82                  13.4                  11.14                 0.0                270            
5           TBDR-000    0                   39.66                56                  3.72                   12.13                 10.76                 0.0                164            
5           TBDR-001    0                   39.52                56                  4.27                   11.74                 10.9                  0.0                164            
5           TBDR-002    0                   39.44                56                  4.27                   12.23                 10.93                 0.0                164            
5           TBDR-003    0                   39.33                56                  4.27                   12.28                 10.33                 0.0                164            
5           TBDR-004    0                   38.81                56                  4.27                   11.8                  10.62                 0.0                164            
5           TBDR-005    0                   38.73                56                  4.27                   12.27                 10.45                 0.0                164            
5           TBDR-006    0                   38.67                56                  4.27                   12.03                 10.46                 0.0                164            
5           TBDR-007    3                   38.62                56                  4.27                   12.37                 10.54                 0.0                164            
5           TBDR-008    3                   38.61                56                  4.27                   12.34                 10.72                 0.0                164            
5           TBDR-009    3                   38.59                56                  4.27                   11.68                 10.58                 0.0                164            
6           TBDR-000    0                   37.23                56                  0.0                    12.85                 10.61                 0.0                111            
6           TBDR-001    9                   37.05                56                  0.0                    13.08                 11.27                 0.0                111            
6           TBDR-002    11                  36.7                 56                  0.0                    12.48                 11.01                 0.0                111            
6           TBDR-003    11                  36.68                56                  0.0                    12.53                 10.14                 0.0                111            
6           TBDR-004    11                  36.56                56                  0.0                    12.48                 10.5                  0.0                111            
6           TBDR-005    11                  36.47                56                  0.0                    13.27                 11.02                 0.0                111            
6           TBDR-006    11                  36.43                56                  0.0                    12.77                 10.53                 0.0                111            
6           TBDR-007    11                  36.31                56                  0.0                    12.75                 10.84                 0.0                111            
6           TBDR-008    11                  36.2                 56                  0.0                    13.29                 10.44                 0.0                111            
6           TBDR-009    12                  36.16                56                  0.0                    12.57                 10.98                 0.0                111            
7           TBDR-000    0                   31.51                56                  7.57                   13.57                 11.27                 0.0                240            
7           TBDR-001    0                   31.47                56                  7.57                   13.59                 11.3                  0.0                240            
7           TBDR-002    0                   31.39                56                  7.57                   13.41                 10.98                 0.0                240            
