vehicle     methods     min_compression_level     mean_compression_level     max_compression_level     low_one_byte_ratio     average_encoding_time(us)     average_decoding_time(us)     memory_footprint(byte)     
0           SFDC-000    1                         55.97                      64                        0.9393                 11.88                         32.47                         44836                      
0           SFDC-001    1                         55.96                      64                        0.9393                 11.99                         32.52                         44836                      
0           SFDC-002    6                         55.98                      64                        0.9393                 11.82                         32.01                         44804                      
0           SFDC-003    6                         55.95                      64                        0.9301                 11.63                         31.22                         44932                      
0           SFDC-004    6                         56.05                      64                        0.9157                 11.84                         32.24                         44836                      
0           SFDC-005    6                         56.26                      64                        0.5849                 12.29                         32.95                         44900                      
0           SFDC-006    6                         56.27                      64                        0.5848                 12.3                          32.58                         44836                      
0           SFDC-007    6                         56.29                      64                        0.5848                 11.77                         31.75                         44900                      
0           SFDC-008    6                         56.32                      64                        0.5717                 11.93                         31.6                          44900                      
0           SFDC-009    6                         56.27                      64                        0.5717                 12.12                         31.94                         44768                      
1           SFDC-000    0                         39.12                      64                        6.3468                 11.59                         32.5                          25120                      
1           SFDC-001    0                         40.7                       64                        6.8277                 12.6                          33.93                         25344                      
1           SFDC-002    0                         42.31                      64                        2.9922                 11.75                         31.86                         25220                      
1           SFDC-003    0                         42.78                      64                        2.9922                 11.87                         31.65                         25444                      
1           SFDC-004    0                         44.27                      64                        2.3056                 11.92                         31.76                         25344                      
1           SFDC-005    16                        45.34                      64                        0.0                    11.94                         31.89                         25376                      
1           SFDC-006    16                        45.43                      64                        0.0                    11.91                         32.42                         25472                      
1           SFDC-007    16                        45.97                      64                        0.0                    12.13                         31.88                         25376                      
1           SFDC-008    16                        46.09                      64                        0.0                    12.07                         32.46                         25316                      
1           SFDC-009    16                        46.29                      64                        0.0                    11.98                         32.45                         25444                      
2           SFDC-000    0                         44.79                      64                        9.2586                 11.63                         31.58                         40760                      
2           SFDC-001    0                         49.73                      64                        1.1833                 12.34                         32.63                         40884                      
2           SFDC-002    0                         51.32                      64                        1.0389                 12.21                         32.35                         40952                      
2           SFDC-003    0                         52.03                      64                        1.0389                 12.46                         32.72                         40920                      
2           SFDC-004    0                         53.23                      64                        1.0389                 12.29                         32.19                         40948                      
2           SFDC-005    8                         54.03                      64                        0.0001                 12.66                         32.74                         41016                      
2           SFDC-006    8                         54.14                      64                        0.0001                 12.11                         32.13                         40888                      
2           SFDC-007    17                        54.27                      64                        0.0                    12.54                         32.77                         40952                      
2           SFDC-008    24                        54.73                      64                        0.0                    12.22                         32.27                         40760                      
2           SFDC-009    24                        54.74                      64                        0.0                    12.37                         32.53                         40884                      
3           SFDC-000    2                         55.05                      64                        1.0634                 12.94                         32.85                         25116                      
3           SFDC-001    2                         55.46                      64                        0.0341                 12.25                         33.47                         25276                      
3           SFDC-002    2                         55.77                      64                        0.0341                 11.82                         32.72                         25276                      
3           SFDC-003    2                         56.56                      64                        0.0341                 12.27                         33.15                         25244                      
3           SFDC-004    2                         56.74                      64                        0.0341                 12.06                         31.72                         25244                      
3           SFDC-005    2                         56.69                      64                        0.0341                 12.21                         31.62                         25244                      
3           SFDC-006    2                         56.74                      64                        0.0341                 11.56                         31.13                         25244                      
3           SFDC-007    2                         56.69                      64                        0.0341                 12.06                         31.84                         25212                      
3           SFDC-008    20                        56.71                      64                        0.0                    11.54                         31.36                         25180                      
3           SFDC-009    20                        56.78                      64                        0.0                    11.72                         30.95                         25148                      
4           SFDC-000    0                         49.71                      64                        2.164                  11.59                         32.12                         41048                      
4           SFDC-001    0                         51.32                      64                        0.1236                 11.67                         31.73                         40952                      
4           SFDC-002    11                        52.38                      64                        0.0                    11.93                         31.87                         41016                      
4           SFDC-003    11                        52.44                      64                        0.0                    12.31                         32.41                         41016                      
4           SFDC-004    16                        54.07                      64                        0.0                    11.55                         31.78                         41048                      
4           SFDC-005    16                        54.24                      64                        0.0                    12.38                         31.9                          40920                      
4           SFDC-006    16                        54.21                      64                        0.0                    12.77                         32.35                         41016                      
4           SFDC-007    34                        55.32                      64                        0.0                    14.4                          38.03                         41048                      
4           SFDC-008    34                        55.27                      64                        0.0                    12.33                         33.44                         41080                      
4           SFDC-009    34                        55.27                      64                        0.0                    12.26                         32.8                          41016                      
5           SFDC-000    0                         59.41                      64                        0.1037                 12.54                         32.97                         70476                      
5           SFDC-001    0                         59.55                      64                        0.054                  12.46                         32.38                         70508                      
5           SFDC-002    0                         59.61                      64                        0.054                  12.59                         32.7                          70376                      
5           SFDC-003    0                         59.72                      64                        0.054                  12.22                         33.08                         70796                      
5           SFDC-004    0                         59.64                      64                        0.054                  12.62                         31.79                         70316                      
5           SFDC-005    0                         59.7                       64                        0.054                  12.41                         32.63                         70536                      
5           SFDC-006    14                        59.69                      64                        0.0                    12.09                         32.76                         70284                      
5           SFDC-007    14                        59.79                      64                        0.0                    12.45                         32.5                          70668                      
5           SFDC-008    26                        59.81                      64                        0.0                    12.11                         33.06                         70572                      
5           SFDC-009    26                        59.72                      64                        0.0                    12.7                          32.06                         70344                      
6           SFDC-000    0                         39.14                      64                        8.7704                 12.11                         32.54                         47464                      
